PSec1:alt	PSec1:ref	PSec2:alt	PSec2:ref	M5:alt	M5:ref	M4:alt	M4:ref	M7:alt	M7:ref	M6:alt	M6:ref	M1:alt	M1:ref	M3:alt	M3:ref	M2:alt	M2:ref
24	28	21	24	23	23	26	22	26	23	27	30	23	36	27	25	28	19
17	25	25	14	41	21	23	23	27	19	14	34	28	29	19	30	27	24
0	53	0	50	0	57	0	38	23	27	0	40	0	52	11	40	0	40
0	60	22	25	0	63	0	43	0	38	0	49	0	49	0	45	0	49
0	48	0	52	0	57	0	48	0	48	0	52	0	39	7	38	0	57
0	42	0	44	0	45	23	16	0	47	0	51	31	19	0	62	0	62
0	49	0	51	0	47	0	50	24	19	0	45	0	39	0	51	0	46
0	44	0	59	25	17	0	55	0	49	0	41	0	48	0	60	0	52
0	43	0	39	22	29	0	48	0	51	0	65	0	60	0	45	0	57
0	45	0	44	0	48	0	40	0	59	0	40	0	61	12	44	0	54
0	55	0	47	0	56	0	57	0	50	27	29	0	50	0	41	23	23
0	45	0	62	27	25	0	60	0	65	0	60	0	50	0	39	0	48
0	49	0	48	0	46	22	21	0	37	0	39	21	26	0	51	0	47
0	48	0	55	0	42	0	46	0	52	0	54	0	48	13	42	0	44
0	41	0	54	0	54	0	49	31	26	0	41	0	40	0	57	0	51
0	59	0	48	0	45	0	48	0	60	0	55	0	49	9	40	0	61
0	56	0	31	0	41	20	27	0	65	0	51	24	24	0	44	0	42
0	56	0	48	28	28	0	51	0	50	0	57	0	47	0	61	0	48
0	45	0	40	0	57	0	45	0	47	0	44	0	45	17	36	0	47
4	49	0	36	0	45	0	47	0	36	0	55	0	37	0	54	0	58
0	39	29	34	0	45	0	54	0	36	0	48	0	56	0	50	0	47
0	49	0	45	0	43	29	25	0	45	0	30	26	26	0	45	0	66
0	49	0	56	0	43	0	49	0	50	0	48	0	62	6	47	0	48
0	53	0	46	0	46	0	62	29	26	0	49	0	41	0	53	0	54
0	45	0	67	0	44	0	54	0	62	0	45	0	57	7	33	0	58
0	53	0	46	0	42	0	57	0	52	0	48	0	66	6	46	0	46
0	51	0	52	0	45	0	44	33	21	0	56	0	67	0	39	0	51
0	47	28	22	0	51	0	38	0	45	0	48	0	60	0	48	0	45
0	65	0	53	0	50	0	52	0	51	0	43	0	45	20	30	0	49
0	62	0	50	0	57	27	23	0	53	0	36	30	27	0	52	0	38
0	61	0	54	0	43	0	40	19	19	0	53	0	54	0	43	0	48
0	46	0	44	21	25	0	39	0	45	0	47	0	44	0	52	0	43
0	40	0	41	0	42	0	52	0	49	0	41	18	27	0	53	0	46
9	45	0	56	0	62	0	46	0	68	0	51	0	35	0	61	0	52
0	45	0	59	27	14	0	53	0	38	0	50	0	45	0	43	0	48
0	59	27	22	0	43	0	55	0	57	0	45	0	39	0	58	0	63
0	49	0	44	19	16	0	41	0	49	0	48	0	55	0	41	0	49
0	46	0	43	0	41	25	13	0	47	0	47	0	53	0	51	0	59
0	57	0	47	0	58	0	56	0	52	24	38	0	41	0	40	8	50
0	43	18	23	0	56	0	51	0	64	0	45	0	46	0	51	0	63
0	52	0	59	0	57	0	50	0	48	0	54	0	49	0	49	2	51
0	62	0	51	0	53	0	59	26	23	0	47	0	60	0	53	0	52
0	66	0	47	0	46	0	52	0	49	17	35	0	49	0	38	5	51
0	53	0	48	0	42	0	48	0	56	0	64	0	39	9	31	0	40
0	54	0	57	0	51	0	56	0	41	31	31	0	45	0	45	0	47
0	41	0	55	0	48	0	48	0	43	29	25	0	45	0	50	0	47
0	51	0	52	0	46	0	44	0	48	24	26	0	56	0	45	0	50
0	40	33	22	0	45	0	50	0	57	0	53	0	59	0	45	0	44
0	52	0	53	0	53	0	58	19	19	0	51	0	35	0	62	0	40
0	47	0	38	0	51	0	46	0	33	29	34	0	63	0	46	0	44
0	47	0	55	30	19	0	55	0	53	0	58	0	46	0	58	0	59
0	48	0	55	0	56	0	58	0	46	33	34	0	46	0	36	0	50
0	52	0	51	0	41	0	50	0	52	0	49	0	52	8	55	0	49
0	58	16	28	0	55	0	43	0	53	0	41	0	68	0	50	0	50
0	44	0	48	0	51	0	56	0	51	20	29	0	51	0	42	0	55
0	51	0	43	0	53	0	48	0	59	24	21	0	55	0	64	0	47
0	44	0	51	0	43	0	45	20	19	0	66	0	43	0	37	0	49
0	47	0	48	0	49	0	51	29	25	0	45	0	44	0	47	0	53
0	56	11	44	0	49	0	53	0	58	0	44	0	52	0	42	0	53
0	52	0	47	26	27	0	40	0	47	0	42	0	62	0	40	0	50
0	53	4	52	0	59	0	67	0	42	0	41	0	52	0	49	0	53
2	23	0	43	0	49	0	46	0	39	0	56	0	48	0	56	0	54
0	48	0	52	0	42	0	53	0	58	21	28	0	37	0	55	0	43
0	57	0	52	11	39	0	45	0	60	0	38	0	57	0	50	0	49
3	40	0	49	0	44	0	42	0	54	0	45	0	48	0	40	0	54
0	48	0	53	0	51	0	46	0	58	7	52	0	54	0	30	0	46
0	50	0	44	0	51	0	47	22	25	0	41	0	50	0	62	0	48
0	50	0	51	0	44	0	50	0	55	2	51	0	45	0	36	0	50
0	46	0	56	0	48	0	41	5	46	0	56	0	44	0	56	0	44
0	49	0	50	0	32	0	53	0	60	1	44	0	47	0	41	0	49
0	46	0	44	0	47	0	54	0	54	3	53	0	52	0	59	0	50
